movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
Perry Mason,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.","Matthew Rhys, Rachel Boulware, Jedediah Jenk","Crime, Drama ",1 Hour,26335,5,1,0
The Lawyer,"Frank Nordling is a young and exceptionally promising defense lawyer. When Frank learns the truth behind his parents death, his whole world unravels. As children, Frank and his sister Sara witnessed their parents die in an explosion caused by a car bomb. As Frank finds out, they were murdered by one of the leaders in Copenhagens criminal underworld, Thomas Waldman. In order to avenge his parents Frank must infiltrate Waldmans organization and become his personal lawyer and trusted confidant. To avoid putting those close to him in danger, Frank has to keep up appearances and play the game. But can he handle it? Is it worth the price? And whos really tricking whom?
Note: This show is in Swedish Language with hardcoded English Subtitles.","Nicolaj Kopernikus, Alexander Karim, Malin Buska","Crime, Drama, Mystery ",45 Minutes,29488,4.64,1,1
Double Cross,"Follows Erica and Eric Cross two siblings on a quest to save the women in their neighborhood from a sex trafficking ring thats taken over Dr. Ericas hospital emergency room and shaken up the streets ran by The Heights Kingpin, Eric. Haunted by their past, the twins set down a path of their unique brand of vigilante justice.","Jeff Logan, Jasmine Burke, Erica Burton",Crime ,32 Minutes,51480,4.62,1,2
Most Beautiful Thing,"After the disappearance of her husband, Maria Luiza opens a Bossa Nova club in defiance of her normally conservative demeanor.
Note: This show is in Portuguese Language with hardcoded English Subtitles.","Maria Casadevall, Pathy Dejesus, Mel Lisboa",Romance ,45 Minutes,24225,4,1,3
The Other One,"After Colin Walcott drops dead at his birthday party his wife Tess and daughter Cat discover he had a long-term mistress Marilyn by whom he has a daughter Cath. An irate Tess throws out Colins belongings whilst Cat is angry with boy-friend Marcus over a text he sent to another girl. When the two half-sisters meet there is an argument over where to scatter their fathers ashes, leading to police intervention whilst they also learn he may have been having an affair with yet another woman.","Christopher Jeffers, Siobhan Finneran, Rebecca Front",Comedy ,30 Minutes,42998,4.11,1,4
Love Victor,"Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation.","Michael Cimino, Mateo Fernandez, Isabella Ferreira","Comedy, Drama, Romance ",30 Minutes,47330,4.74,1,5
Das Boot,"An inexperienced U-boat crew has to survive a secret mission and a young German woman is torn between loyalty for her home country and the French resistance in the WWII drama.
Note: This show is in German Language with hardcoded English Subtitles.","Tom Wlaschiha, Leonard Scheicher, Franz Dinda","Drama, War ",1 Hour,30174,4,1,6
Cold Courage,Two young Finnish women in London are drawn inexorably together via the Studio - a clandestine group dedicated to bringing justice to those beyond the law.,"Sofia Pekkari, Pihla Viitala, John Simm","Crime, Thriller ",42 Minutes,39884,4.43,1,7
The Salisbury Poisonings,A drama about the Novichok poisoning crisis in Salisbury in 2018.,"Sophia Ally, Darren Boyd, Andrew Brooke","Crime, Drama, History ",1 Hour,38642,3.29,1,8
Flipped,"Chronically underemployed couple Jann and Cricket Melfi who are self-proclaimed home renovation experts, are more than confident they are televisions next great home design celebrity duo.","Will Forte, Kaitlin Olson, Luis Moncada",Comedy ,6 Minutes,44175,3.67,1,9
The King - Eternal Monarch,"A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.
Note: This show is in Korean Language with hardcoded English Subtitles.","Min-Ho Lee, Go-eun Kim, Do-Hwan Woo","Fantasy, Mystery, Romance ",1 Hour 10 Minutes,100922,4.96,1,10
The Forest of Love - Deep Cut,"Nothing is as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.
Note: This show is in Japanesh Language with hardcoded English Subtitles.","Chiho Fujii, Kyoko Hinami, Shinnosuke Mitsushima","Crime, Drama, Horror ",42 Minutes,45012,4.64,1,11
